OBJECTID,STATE,COUNTY,TRACT,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen
478,48,201,400000,7886,2961,7886,3043,4843,4757,676,3753,7,309,0,12,86,5445,1873,3572,3523,591,2675,6,244,0,7,49,2961,2731,230,107781974.8,44179.69684
479,48,201,400000,3843,1661,3843,461,3382,3367,53,3302,4,6,1,1,15,2728,289,2439,2431,45,2377,4,3,1,1,8,1661,1400,261,34759603.95,25983.88372
480,48,201,400000,3473,1663,3473,222,3251,3228,51,3166,3,3,1,4,23,2467,140,2327,2309,42,2257,2,3,1,4,18,1663,1425,238,38160782.94,26934.75598
481,48,201,400000,4647,1913,4647,318,4329,4311,15,4289,3,4,0,0,18,3583,182,3401,3392,12,3374,3,3,0,0,9,1913,1729,184,49001206.65,30737.73792
482,48,201,400000,2520,1098,2520,88,2432,2412,11,2371,3,26,0,1,20,1514,45,1469,1460,11,1424,1,23,0,1,9,1098,1011,87,17009984.43,17516.71816
483,48,201,400000,7145,2820,7145,780,6365,6316,222,5999,20,64,0,11,49,5430,470,4960,4937,196,4663,14,58,0,6,23,2820,2636,184,100330354.1,45320.01998
484,48,201,400000,6458,2538,6458,478,5980,5951,46,5879,6,18,0,2,29,4757,277,4480,4462,37,4404,4,15,0,2,18,2538,2265,273,33119322,24458.21236
485,48,201,400000,2340,1611,2340,338,2002,1973,66,1898,3,5,0,1,29,1527,190,1337,1318,59,1251,3,4,0,1,19,1611,802,809,64376019.95,34002.62654
486,48,201,400000,3971,1492,3971,404,3567,3544,34,3497,7,3,0,3,23,2799,235,2564,2551,28,2513,7,3,0,0,13,1492,1368,124,55474281.78,41444.91666
487,48,201,400000,3682,1429,3682,439,3243,3212,44,3152,10,6,0,0,31,2575,261,2314,2293,36,2249,3,5,0,0,21,1429,1233,196,25084218.99,22054.77089
488,48,201,400000,3364,1319,3364,273,3091,3077,29,3031,7,6,0,4,14,2527,163,2364,2354,26,2312,6,6,0,4,10,1319,1174,145,18098381.24,18846.12575
489,48,201,400000,5593,2058,5593,1048,4545,4507,47,4376,2,75,0,7,38,3729,631,3098,3068,43,2974,2,42,0,7,30,2058,1790,268,23791882.58,20042.56492
490,48,201,400000,3037,991,3037,1471,1566,1558,39,1510,1,4,0,4,8,2094,871,1223,1218,33,1176,1,4,0,4,5,991,881,110,11564801.82,15933.09096
491,48,201,400000,4985,1623,4985,1987,2998,2977,52,2903,5,11,1,5,21,3535,1209,2326,2315,44,2252,4,9,1,5,11,1623,1470,153,30569506.15,23429.56006
492,48,201,400000,2918,1062,2918,671,2247,2232,34,2177,9,6,2,4,15,2188,410,1778,1770,23,1731,5,6,1,4,8,1062,964,98,12619757.29,14599.98309
493,48,201,400000,4271,1524,4271,557,3714,3686,61,3603,6,8,0,8,28,3358,371,2987,2966,54,2900,3,7,0,2,21,1524,1423,101,39515795.41,31233.71313
494,48,201,400000,3257,1081,3257,1484,1773,1768,181,1566,6,7,0,8,5,2371,931,1440,1438,169,1252,5,5,0,7,2,1081,1016,65,21346064.5,27306.04015
495,48,201,400000,6605,2098,6605,4130,2475,2459,263,2129,18,39,1,9,16,4606,2635,1971,1959,239,1665,14,34,1,6,12,2098,2008,90,35615675.41,26734.71957
496,48,201,400000,2728,824,2728,2466,262,258,163,79,2,13,0,1,4,1879,1659,220,216,141,62,2,10,0,1,4,824,763,61,27247856.18,26339.31673
497,48,201,400000,4617,1496,4617,3955,662,653,194,440,4,13,0,2,9,3064,2560,504,497,174,306,3,13,0,1,7,1496,1274,222,21087767.01,20782.46474
498,48,201,400000,5049,1502,5049,4474,575,557,344,173,7,30,1,2,18,3411,2898,513,504,309,159,5,28,1,2,9,1502,1319,183,19874148.43,19278.03272
499,48,201,400000,3315,1063,3315,2857,458,452,322,81,2,47,0,0,6,2324,1915,409,406,294,64,2,46,0,0,3,1063,943,120,16565404.03,21156.18399
500,48,201,400000,3663,1394,3663,1630,2033,2013,295,693,0,1015,0,10,20,2604,1078,1526,1512,268,509,0,727,0,8,14,1394,1238,156,13307498.15,17695.65756
